video_id,title,publishedAt,viewCount,likeCount
avyNhHADvgA,#94 How Data Science Enables Better Decisions at Merck (with Suman Giri),2022-07-04T20:08:20Z,501,13
j1vCubfsN4s,"GPT4chan, The World’s Most Toxic AI | The Weekly Roundup",2022-06-30T15:08:12Z,462,11
rQWp7gQE2TI,#93 How Data Science Drives Value for Finance Teams (with Brian Richardi),2022-06-27T19:22:35Z,492,9
k6nCk7Otde4,Is Google’s AI Really Sentient? | The Weekly Roundup,2022-06-24T15:27:06Z,403,8
YlOPxdIrwvg,#92 Democratizing Data in Large Enterprises (with Meenal Iyer),2022-06-20T14:33:37Z,329,5
uJ3vQN_NtXw,Logistic Regression in Python | Databytes | Machine Learning in Python,2022-06-18T16:51:46Z,635,29
gTwfHTS5vNM,AI Restores Val Kilmer’s Voice for Top Gun Maverick | The Weekly Roundup,2022-06-15T11:00:31Z,1609,66
bjJ4UwHqfcE,Ace the Data Interview - How to Research the Company Before a Job Interview | DataCamp Certified,2022-06-14T09:00:12Z,637,35
-F9Z_ODLL2w,#91 Building a Holistic Data Science Function at New York Life Insurance (with Glenn Hofmann),2022-06-13T13:29:05Z,245,6
S2ApOGKAmPM,"Saving coral with AI, Microsoft’s Minecraft helper and more | The Weekly Roundup",2022-06-10T14:04:05Z,260,6
Ed28ny55TNw,Linear Regression in Python | Databytes | Machine Learning in Python,2022-06-09T10:45:27Z,395,24
eI6_nRFOBEI,#90 How Data Science is Transforming the Healthcare Industry (with Curren Katz),2022-06-06T14:51:32Z,508,15
_PYZXxHHUFU,Massive Power BI Update - Special Edition | The Weekly Roundup,2022-06-03T15:14:22Z,443,13
Junoo2rAGZY,Autonomous Cargo Ship and AI Gun Control Measures | The Weekly Roundup,2022-06-01T13:47:37Z,308,11
aqzxYofJ_ck,Python Machine Learning Tutorial | Splitting Your Data | Databytes,2022-05-31T14:07:58Z,528,20
3S-4sET0f6M,#86 [DataFramed Careers Series #1] Launching a Data Career in 2022 (with Sadie St. Lawrence),2022-05-30T14:36:02Z,427,8
eNKVHtITzeE,Dictionaries in Python | Databytes | Python Basics Tutorial,2022-05-30T10:43:04Z,352,11
hOn8gulBk9g,DeepMind’s Generalist Agent and New Skin Tones for Google | The Weekly Roundup,2022-05-25T11:31:26Z,367,19
jA0-O5wX_VQ,For and While Loops in Python | Databytes | Python Basics Tutorial,2022-05-20T11:02:41Z,736,19
