films,shortFilms,tvShows,videoGames,parkAttractions,allies,enemies,_id,name,url
[],[],['Quack Pack'],[],[],[],[],135,Agent X,https://api.disneyapi.dev/characters/135
['Bolt (film)'],[],[],[],[],[],[],136,Agent,https://api.disneyapi.dev/characters/136
[],[],['Miles from Tomorrowland'],[],[],[],[],137,Aggro,https://api.disneyapi.dev/characters/137
"['Frozen', 'Ralph Breaks the Internet', 'Frozen II']","[""Olaf's Frozen Adventure""]",['Once Upon a Time'],[],['Frozen: Live at the Hyperion'],[],[],138,King Agnarr,https://api.disneyapi.dev/characters/138
"['The Lion King', 'The Lion King (2019 film)']",[],[],[],[],[],[],139,Ahadi,https://api.disneyapi.dev/characters/139
"['Air Bud', 'Air Bud: Golden Receiver', 'Air Bud: World Pup', 'Air Bud: Seventh Inning Fetch', 'Air Bud: Spikes Back', 'Air Buddies', 'Snow Buddies', 'Space Buddies', 'Santa Buddies', 'Ralph Breaks the Internet']",[],[],[],[],[],[],140,Air Bud,https://api.disneyapi.dev/characters/140
[],[],"['TaleSpin', 'DuckTales (2017 series)']",[],[],[],[],141,Air Pirates,https://api.disneyapi.dev/characters/141
[],[],['Adventures of the Gummi Bears'],[],[],[],[],142,Airiels,https://api.disneyapi.dev/characters/142
[],[],['The Lion Guard'],[],[],[],[],143,Ajabu,https://api.disneyapi.dev/characters/143
"[""Mickey's House of Villains""]","['Donald Duck and the Gorilla', 'Duck Pimples']",['Mickey Mouse Works'],['Deep Duck Trouble'],[],[],[],144,Ajax the Gorilla,https://api.disneyapi.dev/characters/144
[],[],['The Proud Family'],[],[],[],[],145,Ajay,https://api.disneyapi.dev/characters/145
[],[],['Aladdin (TV series)'],[],[],[],[],146,Ajed Al-Gebraic,https://api.disneyapi.dev/characters/146
[],[],['Aladdin (TV series)'],[],[],[],[],147,Akbar,https://api.disneyapi.dev/characters/147
